Sample	Season	Year	Type	Horizon	Needle	TreeSpecies	Snowmelt	Location	Date	Elevation
LM.L1.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	c_Three	LM
LM.L1.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	a_One	LM
LM.L1.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	b_Two	LM
LM.L2.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	a_One	LM
LM.L2B.10.14.17	Late	a_2017	Needle	Bot	Lodge	Lodge	Regular	Lower Montane	b_Two	LM
LM.L2T.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	b_Two	LM
LM.L3.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	c_Three	LM
LM.L3.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	a_One	LM
LM.L3.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	b_Two	LM
LM.L4.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	c_Three	LM
LM.L4.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	a_One	LM
LM.L4.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Montane	b_Two	LM
LM.R1.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	c_Three	LM
LM.R1.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	a_One	LM
LM.R1.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	b_Two	LM
LM.R2.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	a_One	LM
LM.R2.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	b_Two	LM
LM.R2B.10.14.17	Late	a_2017	Needle	Bot	Red	Spruce	Regular	Lower Montane	b_Two	LM
LM.R3.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	c_Three	LM
LM.R3.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	a_One	LM
LM.R3.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	b_Two	LM
LM.R4.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	c_Three	LM
LM.R4.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	a_One	LM
LM.R4.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Montane	b_Two	LM
LS.2XR1.05.27.2018	Early	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.2XR1.SM.08.02.2017	Middle	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.2XR1.SMB.10.14.17	Late	a_2017	Needle	Bot	2Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.2XR1.SMT.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.2XR1T.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.2XR2.05.27.2018	Early	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.2XR2.08.02.2017	Middle	a_2017	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	a_One	LS
LS.2XR2.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.2XR2.SM.05.27.2018	Early	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.2XR2.SM.08.02.2017	Middle	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.2XR2.SM.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.2XR3.05.27.2018	Early	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.2XR3.08.02.2017	Middle	a_2017	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	a_One	LS
LS.2XR3.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.2XR3.SM.05.27.2018	Early	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.2XR3.SM.08.02.2017	Middle	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.2XR3.SM.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.2XR4.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.2XR4.SM.05.27.2018	Early	b_2018	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.2XR4.SM.08.02.2017	Middle	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.2XR4.SM.10.14.17	Late	a_2017	Needle	Top	2Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.2XRB.10.14.17	Late	a_2017	Needle	Bot	2Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.C1.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	c_Three	LS
LS.C1.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	a_One	LS
LS.C1.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	b_Two	LS
LS.C1.SM.05.27.2018	Early	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	c_Three	LS_SM
LS.C1.SM.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	a_One	LS_SM
LS.C1.SM.10.14.17	Late	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	b_Two	LS_SM
LS.C2.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	a_One	LS
LS.C2.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	b_Two	LS
LS.C2.SM.05.27.2018	Early	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	c_Three	LS_SM
LS.C2.SM.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	a_One	LS_SM
LS.C3.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	c_Three	LS
LS.C3.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	a_One	LS
LS.C3.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	b_Two	LS
LS.C3.SM.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	a_One	LS_SM
LS.C3.SMB.10.14.17	Late	a_2017	Control	Bot	Control	Control	Induced	Lower Subalpine	b_Two	LS_SM
LS.C4.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	c_Three	LS
LS.C4.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	a_One	LS
LS.C4.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Lower Subalpine	b_Two	LS
LS.C4.SM.05.27.2018	Early	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	c_Three	LS_SM
LS.C4.SM.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	a_One	LS_SM
LS.C4.SM.10.14.17	Late	a_2017	Control	Top	Control	Control	Induced	Lower Subalpine	b_Two	LS_SM
LS.G1.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.G1.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Subalpine	a_One	LS
LS.G1.SM.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.G1.SM.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.G1.SM.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.G1B.10.14.17	Late	a_2017	Needle	Bot	Green	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.G1T.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.G2.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Subalpine	a_One	LS
LS.G2.SM.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.G2.SMB.10.14.17	Late	a_2017	Needle	Bot	Green	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.G2.SMT.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.G3.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.G3.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Subalpine	a_One	LS
LS.G3.SM.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.G3.SM.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.G3.SM.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.G4.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.G4.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Lower Subalpine	a_One	LS
LS.G4.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.G4.SM.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.G4.SM.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.G4.SM.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.L1.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	a_One	LS
LS.L1.SM.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	a_One	LS_SM
LS.L1.SMB.10.14.17	Late	a_2017	Needle	Bot	Lodge	Lodge	Induced	Lower Subalpine	b_Two	LS_SM
LS.L1.SMT.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	b_Two	LS_SM
LS.L1B.10.14.17	Late	a_2017	Needle	Bot	Lodge	Lodge	Regular	Lower Subalpine	b_Two	LS
LS.L1T.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	b_Two	LS
LS.L2.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	c_Three	LS
LS.L2.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	a_One	LS
LS.L2.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	b_Two	LS
LS.L2.SM.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	c_Three	LS_SM
LS.L2.SM.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	a_One	LS_SM
LS.L2.SM.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	b_Two	LS_SM
LS.L3.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	c_Three	LS
LS.L3.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	a_One	LS
LS.L3.SM.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	c_Three	LS_SM
LS.L3.SM.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	a_One	LS_SM
LS.L3.SM.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	b_Two	LS_SM
LS.L4.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	c_Three	LS
LS.L4.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	a_One	LS
LS.L4.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	b_Two	LS
LS.L4.SM.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	c_Three	LS_SM
LS.L4.SM.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	a_One	LS_SM
LS.L4.SM.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Induced	Lower Subalpine	b_Two	LS_SM
LS.R1.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.R1.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	a_One	LS
LS.R1.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.R1.SM.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.R1.SM.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.R1.SM.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.R2.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.R2.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	a_One	LS
LS.R2.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.R2.SM.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.R2.SM.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.R2.SM.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.R3.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	c_Three	LS
LS.R3.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.R3.SM.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	c_Three	LS_SM
LS.R3.SM.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.R3.SM.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.R4.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	a_One	LS
LS.R4.SM.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	a_One	LS_SM
LS.R4.SMB.10.14.17	Late	a_2017	Needle	Bot	Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.R4.SMT.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Induced	Lower Subalpine	b_Two	LS_SM
LS.R4B.10.14.17	Late	a_2017	Needle	Bot	Red	Spruce	Regular	Lower Subalpine	b_Two	LS
LS.R4T.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Lower Subalpine	b_Two	LS
NEG.1.08.02.2017	Middle	a_2017	Negative	Negative	Negative	Negative	Negative	Negative	a_One	LS
NEG.2.08.02.2017	Middle	a_2017	Negative	Negative	Negative	Negative	Negative	Negative	a_One	LS
NEG.3.08.02.2017	Middle	a_2017	Negative	Negative	Negative	Negative	Negative	Negative	a_One	LS
US.C1.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Upper Subalpine	a_One	US
US.C1B.10.14.17	Late	a_2017	Control	Bot	Control	Control	Regular	Upper Subalpine	b_Two	US
US.C1T.10.14.17	Late	a_2017	Control	Top	Control	Control	Regular	Upper Subalpine	b_Two	US
US.C2.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Upper Subalpine	c_Three	US
US.C2.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Upper Subalpine	a_One	US
US.C3.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Upper Subalpine	c_Three	US
US.C3.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Upper Subalpine	a_One	US
US.C4.05.27.2018	Early	b_2018	Control	Top	Control	Control	Regular	Upper Subalpine	c_Three	US
US.C4.08.02.2017	Middle	a_2017	Control	Top	Control	Control	Regular	Upper Subalpine	a_One	US
US.G1.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Upper Subalpine	a_One	US
US.G1T.10.14.17	Late	a_2017	Needle	Top	Green	Spruce	Regular	Upper Subalpine	b_Two	US
US.G2.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Upper Subalpine	c_Three	US
US.G2.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Upper Subalpine	a_One	US
US.G3.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Upper Subalpine	c_Three	US
US.G3.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Upper Subalpine	a_One	US
US.G4.05.27.2018	Early	b_2018	Needle	Top	Green	Spruce	Regular	Upper Subalpine	c_Three	US
US.G4.08.02.2017	Middle	a_2017	Needle	Top	Green	Spruce	Regular	Upper Subalpine	a_One	US
US.L1.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	c_Three	US
US.L1.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	a_One	US
US.L2.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	c_Three	US
US.L2.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	a_One	US
US.L3.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	a_One	US
US.L3T.10.14.17	Late	a_2017	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	b_Two	US
US.L4.05.27.2018	Early	b_2018	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	c_Three	US
US.L4.08.02.2017	Middle	a_2017	Needle	Top	Lodge	Lodge	Regular	Upper Subalpine	a_One	US
US.R1.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Upper Subalpine	c_Three	US
US.R1.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Upper Subalpine	a_One	US
US.R2.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Upper Subalpine	c_Three	US
US.R2.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Upper Subalpine	a_One	US
US.R3.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Upper Subalpine	a_One	US
US.R3B.10.14.17	Late	a_2017	Needle	Bot	Red	Spruce	Regular	Upper Subalpine	b_Two	US
US.R3T.10.14.17	Late	a_2017	Needle	Top	Red	Spruce	Regular	Upper Subalpine	b_Two	US
US.R4.05.27.2018	Early	b_2018	Needle	Top	Red	Spruce	Regular	Upper Subalpine	c_Three	US
US.R4.08.02.2017	Middle	a_2017	Needle	Top	Red	Spruce	Regular	Upper Subalpine	a_One	US
LM.C1.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Lower Montane	d_Four	LM
LM.C2.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Lower Montane	d_Four	LM
LM.C3.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Lower Montane	d_Four	LM
LM.G2.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	d_Four	LM
LM.G3.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	d_Four	LM
LM.G4.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Lower Montane	d_Four	LM
LM.R1.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	d_Four	LM
LM.R3.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	d_Four	LM
LM.R4.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Lower Montane	d_Four	LM
LM.L1.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	d_Four	LM
LM.L3.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	d_Four	LM
LM.L4.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Montane	d_Four	LM
LM.SH1.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Lower Montane	d_Four	LM
LM.SH2.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Lower Montane	d_Four	LM
LM.SH3.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Lower Montane	d_Four	LM
LS.C1.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	d_Four	LS
LS.C3.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	d_Four	LS
LS.C4.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Regular	Lower Subalpine	d_Four	LS
LS.G1.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.G3.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.G4.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.R1.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.R2.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.R3.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.L2.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	d_Four	LS
LS.L3.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	d_Four	LS
LS.L4.7.19.2018	Middle	b_2018	Needle	Top	Lodge	Lodge	Regular	Lower Subalpine	d_Four	LS
LS.2XR1.7.19.2018	Middle	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.2XR2.7.19.2018	Middle	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.2XR3.7.19.2018	Middle	b_2018	Needle	Top	2Red	Spruce	Regular	Lower Subalpine	d_Four	LS
LS.SH1.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Lower Subalpine	d_Four	LS
LS.SH2.7.19.2018	Middle	b_2018	Control	Top	Shade	Control	Regular	Lower Subalpine	d_Four	LS
LS.C1.SM.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	d_Four	LS_SM
LS.C2.SM.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	d_Four	LS_SM
LS.C4.SM.7.19.2018	Middle	b_2018	Control	Top	Control	Control	Induced	Lower Subalpine	d_Four	LS_SM
LS.G1.SM.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.G3.SM.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.G4.SM.7.19.2018	Middle	b_2018	Needle	Top	Green	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
LS.R1.SM.7.19.2018	Middle	b_2018	Needle	Top	Red	Spruce	Induced	Lower Subalpine	d_Four	LS_SM
